message size, message key, receiving time
Question 3,,
1,1554185368.28884,1554185371.66389
2,1554185368.59555,1554185371.6965
4,1554185368.62769,1554185371.72903
8,1554185368.65959,1554185371.76123
16,1554185368.6915,1554185371.79353
32,1554185368.72341,1554185371.82541
64,1554185368.75541,1554185371.85725
128,1554185368.78724,1554185371.88905
256,1554185368.81914,1554185371.94655
512,1554185368.85124,1554185371.97807
1024,1554185368.92901,1554185372.00953
2048,1554185368.96074,1554185372.12052
4096,1554185368.99269,1554185372.15581
8192,1554185369.06251,1554185372.26826
16384,1554185369.20023,1554185372.54389
32768,1554185369.34149,1554185372.79922
65536,1554185369.5395,1554185373.01482
131072,1554185369.69703,1554185373.39111
262144,1554185369.93611,1554185373.96729
524288,1554185370.40288,1554185375.22494
1,1554185371.20265,1554185375.32908
2,1554185371.33612,1554185375.32936
4,1554185371.46929,1554185375.32947
8,1554185371.5014,1554185375.32957
16,1554185371.53328,1554185375.32967
32,1554185371.56524,1554185375.32976
64,1554185371.59768,1554185375.32985
128,1554185371.62974,1554185375.32993
256,1554185371.68155,1554185375.33002
512,1554185371.71341,1554185375.3301
1024,1554185371.7452,1554185375.33019
2048,1554185371.77861,1554185375.33027
4096,1554185371.81029,1554185375.33036
8192,1554185371.84267,1554185375.33044
16384,1554185371.87903,1554185375.33054
32768,1554185371.92995,1554185375.40549
65536,1554185372.12771,1554185375.67301
131072,1554185372.25267,1554185376.02807
262144,1554185372.51138,1554185376.71927
524288,1554185372.95599,1554185377.78262
1,1554185373.73972,1554185377.82626
2,1554185373.78634,1554185377.82654
4,1554185373.82674,1554185377.82669
8,1554185373.85985,1554185377.82682
16,1554185373.89434,1554185377.82697
32,1554185373.92999,1554185377.82709
64,1554185373.96583,1554185377.82718
128,1554185373.99779,1554185377.82729
256,1554185374.02967,1554185377.82738
512,1554185374.06164,1554185377.82747
1024,1554185374.09355,1554185377.82756
2048,1554185374.12562,1554185377.82764
4096,1554185374.16219,1554185377.82773
8192,1554185374.2592,1554185377.82783
16384,1554185374.36877,1554185377.87019
32768,1554185374.42012,1554185378.14802
65536,1554185374.6401,1554185378.32939
131072,1554185374.79643,1554185378.66557
262144,1554185375.07773,1554185379.29067
524288,1554185375.51453,1554185380.53698
1,1554185376.26081,1554185380.53725
2,1554185376.30218,1554185380.61088
4,1554185376.34137,1554185380.61108
8,1554185376.3855,1554185380.61131
16,1554185376.43073,1554185380.61142
32,1554185376.47365,1554185380.61155
64,1554185376.52181,1554185380.61167
128,1554185376.56444,1554185380.61177
256,1554185376.60365,1554185380.61186
512,1554185376.64665,1554185380.61196
1024,1554185376.691,1554185380.61206
2048,1554185376.73028,1554185380.61215
4096,1554185376.76213,1554185380.61224
8192,1554185376.88127,1554185380.61233
16384,1554185377.02212,1554185380.61244
32768,1554185377.07678,1554185380.69106
65536,1554185377.29093,1554185380.94049
131072,1554185377.42561,1554185381.32953
262144,1554185377.72536,1554185382.05464
524288,1554185378.12924,1554185383.21051
1,1554185378.88382,1554185383.21082
2,1554185378.92945,1554185383.21094
4,1554185378.97214,1554185383.21105
8,1554185379.01511,1554185383.21116
16,1554185379.05872,1554185383.24302
32,1554185379.10211,1554185383.24315
64,1554185379.14859,1554185383.24327
128,1554185379.19393,1554185383.24338
256,1554185379.24034,1554185383.24348
512,1554185379.28686,1554185383.24358
1024,1554185379.31973,1554185383.24369
2048,1554185379.35149,1554185383.29333
4096,1554185379.3836,1554185384.15737
8192,1554185379.4393,1554185384.15768
16384,1554185379.57583,1554185384.15779
32768,1554185379.63611,1554185384.15792
65536,1554185379.89017,1554185384.15803
131072,1554185380.03777,1554185384.56019
262144,1554185380.31247,1554185385.42939
524288,1554185380.74682,1554185386.0904
Question 5,,
32,1554185390.18544,1554185390.24964
32,1554185390.21786,1554185390.29793
32,1554185390.24999,1554185390.33074
32,1554185390.28167,1554185390.36349
32,1554185390.31464,1554185390.52689
32,1554185394.96499,1554185395.1458
32,1554185394.99727,1554185395.17861
