message size, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
Question 3,,,,,,,,,,,,,
1,1554185368.28884,1554185368.59528,1554185371.32192,1554185371.6595,1554185371.66389,2.72663998603821,3.06860995292664,2.72663998603821,3.15931596755981,3.42025995254517,4.28154993057251,3.92372798919678,4.28154993057251
2,1554185368.59555,1554185368.62756,1554185371.65983,1554185371.69187,1554185371.6965,3.03227019309998,3.06894016265869,2.92198991775513,3.19700598716736,3.40961003303528,4.2696099281311,3.88751797676086,4.2696099281311
4,1554185368.62769,1554185368.65946,1554185371.69211,1554185371.72468,1554185371.72903,3.03264999389648,3.0695698261261,2.93292999267578,3.19725193977356,3.39891982078552,4.22568988800049,3.85730991363525,4.22568988800049
8,1554185368.65959,1554185368.69135,1554185371.72497,1554185371.75678,1554185371.76123,3.03362011909485,3.06988000869751,2.94371008872986,3.22536206245422,3.42499017715454,4.18071007728577,3.82647399902344,4.18071007728577
16,1554185368.6915,1554185368.72329,1554185371.75701,1554185371.78892,1554185371.79353,3.03372001647949,3.07024002075195,2.95337009429932,3.25001602172852,3.5100200176239,4.14104008674622,3.80216403007507,4.14104008674622
32,1554185368.72341,1554185368.75519,1554185371.78917,1554185371.82085,1554185371.82541,3.03398013114929,3.07021999359131,2.96954011917114,3.25627207756042,3.49545001983643,4.0946900844574,3.7696900844574,4.0946900844574
64,1554185368.75541,1554185368.78712,1554185371.82105,1554185371.85278,1554185371.85725,3.0339298248291,3.07012987136841,2.9697802066803,3.25201992988586,3.48196983337402,4.04958987236023,3.73938794136047,4.04958987236023
128,1554185368.78724,1554185368.81902,1554185371.85294,1554185371.88465,1554185371.88905,3.03392004966736,3.07002997398376,2.9515700340271,3.24429001808166,3.46737003326416,4.00826001167297,3.70555801391602,4.00826001167297
256,1554185368.81914,1554185368.851,1554185371.88497,1554185371.92953,1554185371.94655,3.03396987915039,3.09554982185364,2.96009993553162,3.2562159538269,3.4640998840332,3.96534013748169,3.68005795478821,3.96534013748169
512,1554185368.85124,1554185368.92885,1554185371.92983,1554185371.97278,1554185371.97807,3.00098013877869,3.04922008514404,2.96124005317688,3.27220406532288,3.5650999546051,3.92397999763489,3.64270005226135,3.92397999763489
1024,1554185368.92901,1554185368.9606,1554185371.97298,1554185372.00494,1554185372.00953,3.01238012313843,3.04893016815186,3.01238012313843,3.30914597511291,3.66827988624573,3.89232993125916,3.61539998054504,3.89232993125916
2048,1554185368.96074,1554185368.99256,1554185372.00516,1554185372.11608,1554185372.12052,3.01260018348694,3.12796020507812,3.01260018348694,3.33138003349304,3.7720000743866,3.90987992286682,3.61475601196289,3.90987992286682
4096,1554185368.99269,1554185369.06234,1554185372.1164,1554185372.1514,1554185372.15581,3.0540599822998,3.09347009658813,3.02646994590759,3.34660801887512,3.85009002685547,4.71823000907898,3.7198920249939,4.71823000907898
8192,1554185369.06251,1554185369.20003,1554185372.1516,1554185372.23443,1554185372.26826,2.95156979560852,3.06822991371155,2.95156979560852,3.32480797767639,3.84724998474121,4.58207011222839,3.63034205436707,4.58207011222839
16384,1554185369.20023,1554185369.34125,1554185372.23474,1554185372.50576,1554185372.54389,2.89349007606506,3.20264005661011,2.89349007606506,3.3299699306488,3.9238498210907,4.5218198299408,3.6222499370575,4.5218198299408
32768,1554185369.34149,1554185369.53927,1554185372.5061,1554185372.71472,1554185372.79922,2.9668300151825,3.25995016098022,2.9668300151825,3.21306796073914,3.73062992095947,4.26800990104675,3.54289202690124,4.26800990104675
65536,1554185369.5395,1554185369.69675,1554185372.71506,1554185372.86237,1554185373.01482,3.01831007003784,3.31807017326355,3.01831007003784,3.28513398170471,3.81388998031616,4.12046003341675,3.58147406578064,4.12046003341675
131072,1554185369.69703,1554185369.93587,1554185372.86275,1554185373.13691,1554185373.39111,2.92688012123108,3.45524001121521,2.92688012123108,3.17299394607544,3.68725991249084,4.24796986579895,3.68251996040344,4.24796986579895
262144,1554185369.93611,1554185370.40263,1554185373.13737,1554185373.56204,1554185373.96729,2.7347400188446,3.56465983390808,2.7347400188446,3.03940205574036,3.6664400100708,4.68279004096985,3.94262399673462,4.68279004096985
524288,1554185370.40288,1554185371.20233,1554185373.56261,1554185374.34811,1554185375.22494,2.36027979850769,4.02260994911194,2.36027979850769,2.66482796669006,3.30631995201111,4.60859990119934,4.2555579662323,4.60859990119934
1,1554185371.20265,1554185371.33587,1554185374.34859,1554185374.39084,1554185375.32908,3.01271986961365,3.99321007728577,,,,,,
2,1554185371.33612,1554185371.46916,1554185374.39115,1554185374.4338,1554185375.32936,2.92198991775513,3.86019992828369,,,,,,
4,1554185371.46929,1554185371.50121,1554185374.43414,1554185374.47665,1554185375.32947,2.93292999267578,3.82825994491577,,,,,,
8,1554185371.5014,1554185371.53317,1554185374.47688,1554185374.51826,1554185375.32957,2.94371008872986,3.79640007019043,,,,,,
16,1554185371.53328,1554185371.56512,1554185374.51849,1554185374.56686,1554185375.32967,2.95337009429932,3.76454997062683,,,,,,
32,1554185371.56524,1554185371.59757,1554185374.56711,1554185374.59901,1554185375.32976,2.96954011917114,3.73219013214111,,,,,,
64,1554185371.59768,1554185371.6295,1554185374.59928,1554185374.63263,1554185375.32985,2.9697802066803,3.70035004615784,,,,,,
128,1554185371.62974,1554185371.68139,1554185374.63296,1554185374.6731,1554185375.32993,2.9515700340271,3.64854001998901,,,,,,
256,1554185371.68155,1554185371.71328,1554185374.67338,1554185374.70602,1554185375.33002,2.96009993553162,3.61673998832703,,,,,,
512,1554185371.71341,1554185371.74506,1554185374.7063,1554185374.79775,1554185375.3301,2.96124005317688,3.58504009246826,,,,,,
1024,1554185371.7452,1554185371.77847,1554185374.79806,1554185374.8298,1554185375.33019,3.01958990097046,3.55171990394592,,,,,,
2048,1554185371.77861,1554185371.81016,1554185374.8301,1554185374.86871,1554185375.33027,3.01994013786316,3.52011013031006,,,,,,
4096,1554185371.81029,1554185371.84251,1554185374.86898,1554185375.01839,1554185375.33036,3.02646994590759,3.48784995079041,,,,,,
