message size, message key, receiving time, forwarding time
Question 3,,,
1,1554185368.28884,1554185371.32192,1554185371.6595
2,1554185368.59555,1554185371.65983,1554185371.69187
4,1554185368.62769,1554185371.69211,1554185371.72468
8,1554185368.65959,1554185371.72497,1554185371.75678
16,1554185368.6915,1554185371.75701,1554185371.78892
32,1554185368.72341,1554185371.78917,1554185371.82085
64,1554185368.75541,1554185371.82105,1554185371.85278
128,1554185368.78724,1554185371.85294,1554185371.88465
256,1554185368.81914,1554185371.88497,1554185371.92953
512,1554185368.85124,1554185371.92983,1554185371.97278
1024,1554185368.92901,1554185371.97298,1554185372.00494
2048,1554185368.96074,1554185372.00516,1554185372.11608
4096,1554185368.99269,1554185372.1164,1554185372.1514
8192,1554185369.06251,1554185372.1516,1554185372.23443
16384,1554185369.20023,1554185372.23474,1554185372.50576
32768,1554185369.34149,1554185372.5061,1554185372.71472
65536,1554185369.5395,1554185372.71506,1554185372.86237
131072,1554185369.69703,1554185372.86275,1554185373.13691
262144,1554185369.93611,1554185373.13737,1554185373.56204
524288,1554185370.40288,1554185373.56261,1554185374.34811
1,1554185371.20265,1554185374.34859,1554185374.39084
2,1554185371.33612,1554185374.39115,1554185374.4338
4,1554185371.46929,1554185374.43414,1554185374.47665
8,1554185371.5014,1554185374.47688,1554185374.51826
16,1554185371.53328,1554185374.51849,1554185374.56686
32,1554185371.56524,1554185374.56711,1554185374.59901
64,1554185371.59768,1554185374.59928,1554185374.63263
128,1554185371.62974,1554185374.63296,1554185374.6731
256,1554185371.68155,1554185374.67338,1554185374.70602
512,1554185371.71341,1554185374.7063,1554185374.79775
1024,1554185371.7452,1554185374.79806,1554185374.8298
2048,1554185371.77861,1554185374.8301,1554185374.86871
4096,1554185371.81029,1554185374.86898,1554185375.01839
8192,1554185371.84267,1554185375.01873,1554185375.08757
16384,1554185371.87903,1554185375.08779,1554185375.14247
32768,1554185371.92995,1554185375.14269,1554185375.34951
65536,1554185372.12771,1554185375.34982,1554185375.51745
131072,1554185372.25267,1554185375.51784,1554185375.78725
262144,1554185372.51138,1554185375.78771,1554185376.16449
524288,1554185372.95599,1554185376.16501,1554185377.02631
1,1554185373.73972,1554185377.02674,1554185377.0586
2,1554185373.78634,1554185377.05875,1554185377.09038
4,1554185373.82674,1554185377.09061,1554185377.22562
8,1554185373.85985,1554185377.22593,1554185377.30076
16,1554185373.89434,1554185377.30106,1554185377.37657
32,1554185373.92999,1554185377.37688,1554185377.4104
64,1554185373.96583,1554185377.41074,1554185377.44384
128,1554185373.99779,1554185377.44416,1554185377.48036
256,1554185374.02967,1554185377.48057,1554185377.52623
512,1554185374.06164,1554185377.52641,1554185377.57029
1024,1554185374.09355,1554185377.57046,1554185377.60945
2048,1554185374.12562,1554185377.60965,1554185377.6418
4096,1554185374.16219,1554185377.64211,1554185377.73266
8192,1554185374.2592,1554185377.7329,1554185377.77773
16384,1554185374.36877,1554185377.7779,1554185377.83163
32768,1554185374.42012,1554185377.8319,1554185378.05708
65536,1554185374.6401,1554185378.05743,1554185378.22188
131072,1554185374.79643,1554185378.22236,1554185378.50974
262144,1554185375.07773,1554185378.51025,1554185378.90279
524288,1554185375.51453,1554185378.90341,1554185379.69807
1,1554185376.26081,1554185379.69846,1554185379.73015
2,1554185376.30218,1554185379.7303,1554185379.77603
4,1554185376.34137,1554185379.77625,1554185379.82311
8,1554185376.3855,1554185379.82337,1554185379.85504
16,1554185376.43073,1554185379.85531,1554185379.8925
32,1554185376.47365,1554185379.8928,1554185379.92543
64,1554185376.52181,1554185379.92566,1554185379.95728
128,1554185376.56444,1554185379.95749,1554185380.05003
256,1554185376.60365,1554185380.05034,1554185380.0913
512,1554185376.64665,1554185380.09146,1554185380.13046
1024,1554185376.691,1554185380.13062,1554185380.16646
2048,1554185376.73028,1554185380.16667,1554185380.29994
4096,1554185376.76213,1554185380.30037,1554185380.34253
8192,1554185376.88127,1554185380.34278,1554185380.39292
16384,1554185377.02212,1554185380.3932,1554185380.45097
32768,1554185377.07678,1554185380.45136,1554185380.65985
65536,1554185377.29093,1554185380.66027,1554185380.82406
131072,1554185377.42561,1554185380.82441,1554185381.09632
262144,1554185377.72536,1554185381.09678,1554185381.47204
524288,1554185378.12924,1554185381.47265,1554185382.34911
1,1554185378.88382,1554185382.34953,1554185382.38151
2,1554185378.92945,1554185382.38163,1554185382.41374
4,1554185378.97214,1554185382.41392,1554185382.48309
8,1554185379.01511,1554185382.48338,1554185382.6117
16,1554185379.05872,1554185382.612,1554185382.64366
32,1554185379.10211,1554185382.64391,1554185382.67547
64,1554185379.14859,1554185382.67565,1554185382.70735
128,1554185379.19393,1554185382.70753,1554185382.75055
256,1554185379.24034,1554185382.75082,1554185382.88438
512,1554185379.28686,1554185382.8847,1554185383.01935
1024,1554185379.31973,1554185383.01964,1554185383.15514
2048,1554185379.35149,1554185383.15545,1554185383.28887
4096,1554185379.3836,1554185383.28923,1554185383.42257
8192,1554185379.4393,1554185383.42286,1554185383.55944
16384,1554185379.57583,1554185383.55982,1554185383.62033
32768,1554185379.63611,1554185383.62054,1554185383.85115
65536,1554185379.89017,1554185383.85146,1554185383.9991
131072,1554185380.03777,1554185383.99948,1554185384.41249
262144,1554185380.31247,1554185384.41304,1554185384.78758
524288,1554185380.74682,1554185384.78812,1554185385.50402
Question 5,,,
32,1554185390.18544,1554185390.21307,1554185390.24506
32,1554185390.21786,1554185390.24533,1554185390.29338
32,1554185390.24999,1554185390.29369,1554185390.32623
32,1554185390.28167,1554185390.32645,1554185390.359
32,1554185390.31464,1554185390.35924,1554185390.492
32,1554185394.96499,1554185394.99224,1554185395.14125
32,1554185394.99727,1554185395.14155,1554185395.174
32,1554185395.02923,1554185395.17425,1554185395.20848
32,1554185395.16117,1554185395.20882,1554185395.24128
32,1554185395.19662,1554185395.24145,1554185395.37404
32,1554185400.00878,1554185400.03642,1554185400.08592
32,1554185400.04144,1554185400.08624,1554185400.12694
32,1554185400.07364,1554185400.12724,1554185400.15926
32,1554185400.10572,1554185400.15957,1554185400.197
32,1554185400.14868,1554185400.19732,1554185400.22923
32,1554185405.04196,1554185405.55787,1554185405.58996
32,1554185405.0753,1554185405.59026,1554185405.70633
32,1554185405.10812,1554185405.70666,1554185405.83914
32,1554185405.13983,1554185405.83947,1554185405.97201
32,1554185405.17198,1554185405.97235,1554185406.10572
32,1554185410.06246,1554185412.35333,1554185412.39029
32,1554185410.09468,1554185412.39045,1554185412.4221
32,1554185410.12648,1554185412.42239,1554185412.4626
32,1554185410.15803,1554185412.46278,1554185412.49452
32,1554185410.18973,1554185412.49462,1554185412.52634
32,1554185414.71083,1554185415.25375,1554185415.28591
32,1554185414.74293,1554185415.28612,1554185415.40342
32,1554185414.77481,1554185415.40375,1554185415.53744
32,1554185414.80678,1554185415.53774,1554185415.56957
32,1554185414.84567,1554185415.56972,1554185415.60148
32,1554185419.53418,1554185420.05399,1554185420.08625
32,1554185419.56634,1554185420.08655,1554185420.20304
32,1554185419.59822,1554185420.20335,1554185420.33671
32,1554185419.62985,1554185420.337,1554185420.60466
32,1554185419.66144,1554185420.60498,1554185420.73707
32,1554185424.55777,1554185427.61088,1554185427.64303
32,1554185424.82678,1554185427.64318,1554185427.67472
32,1554185424.92862,1554185427.67482,1554185427.71854
32,1554185424.96043,1554185427.71874,1554185427.75057
32,1554185424.99216,1554185427.75075,1554185428.14984
32,1554185430.14486,1554185430.77392,1554185430.80595
32,1554185430.17721,1554185430.80614,1554185430.92271
32,1554185430.21965,1554185430.92301,1554185431.05643
32,1554185430.49463,1554185431.05673,1554185431.18906
32,1554185430.561,1554185431.18936,1554185431.26056
32,1554185435.95818,1554185436.4058,1554185436.43796
32,1554185435.99043,1554185436.43818,1554185436.47107
32,1554185436.26266,1554185436.47125,1554185436.79012
32,1554185436.36437,1554185436.79042,1554185436.90294
32,1554185436.45958,1554185436.96222,1554185436.9944
32,1554185441.61725,1554185441.72417,1554185441.75627
32,1554185441.64992,1554185441.78701,1554185441.8189
32,1554185441.68199,1554185441.81919,1554185441.85109
32,1554185441.71405,1554185441.85139,1554185441.88361
32,1554185441.7777,1554185441.88388,1554185441.95064
Question 10,,,
32,1554185459.86617,1554185460.6192,1554185460.65108
32,1554185460.89953,1554185462.73213,1554185462.76396
32,1554185461.9329,1554185462.76422,1554185462.79606
32,1554185462.96613,1554185462.99557,1554185463.02737
32,1554185463.99956,1554185464.02684,1554185464.05873
32,1554185465.03301,1554185465.0604,1554185465.09231
32,1554185466.06653,1554185466.09374,1554185466.12571
32,1554185467.09992,1554185468.61082,1554185468.6425
32,1554185468.13346,1554185468.64267,1554185468.67405
32,1554185469.16679,1554185469.61945,1554185469.65182
