2 nodes,send time,receive time,,,,,
node1,1554188769.48252,1554188771.82273,2.34020757675171,0.023921728134155,1.20147931575775,4.0210018157959,
node1,1554188770.3524,1554188771.82304,1.47064018249512,,,,
node1,1554188770.60638,1554188771.82316,1.21678137779236,,,,
node1,1554188770.63884,1554188771.82327,1.18443560600281,,,,
node1,1554188770.99441,1554188775.01541,4.0210018157959,,,,
node2,1554188816.73108,1554188817.39719,0.666110277175903,,,,
node2,1554188816.89253,1554188817.39753,0.505001068115234,,,,
node2,1554188817.14634,1554188817.39769,0.251348972320557,,,,
node2,1554188817.17871,1554188817.51406,0.335344552993774,,,,
node2,1554188817.52289,1554188817.54681,0.023921728134155,,,,
,,,,,,,
,,,,,min,mean,max
,1554189036.42849,1554189036.45919,0.030691623687744,,0,,
,1554189061.8952,1554189061.92616,0.030956983566284,,,,
,1554189079.27779,1554189080.47732,1.19952988624573,,,,
,1554189084.025,1554189084.57317,0.54817008972168,,,,
,1554189089.29137,1554189089.32184,0.030476808547974,,,,
,1554189094.39885,1554189094.42939,0.030541658401489,,,,
,1554189103.30114,1554189103.33176,0.030620098114014,,,,
,1554189112.25899,1554189112.28986,0.030864238739014,,,,
,1554189125.15158,1554189125.26315,0.111570358276367,,,,
,1554189131.08192,1554189131.14361,0.061688184738159,,,,
,1554189140.73915,1554189140.76982,0.030667781829834,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1554188853.76282,1554188853.78659,0.023772716522217,,0.023354768753052,0.096855449676514,0.389429807662964
,1554188853.79537,1554188853.81973,0.024354457855225,,,,
,1554188853.82832,1554188854.21775,0.389429807662964,,,,
,1554188854.22668,1554188854.25004,0.023354768753052,,,,
,1554188854.25897,1554188854.28234,0.023365497589111,,,,
,,,0,,,,
,1554188928.8168,1554188928.83827,0.021468639373779,,0.020853757858276,0.021093893051148,0.021468639373779
,1554188928.8499,1554188928.87092,0.021017551422119,,,,
,1554188928.88307,1554188928.90429,0.02121901512146,,,,
,1554188928.91568,1554188928.93659,0.020910501480103,,,,
,1554188928.94799,1554188928.96885,0.020853757858276,,,,
