loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671250.13704,1554671250.48019,1554671251.67226,1554671252.56461,1554671250.59678
,1554671250.48039,1554671250.72513,1554671251.67252,1554671252.5649,1554671250.72333
,1554671250.72533,1554671250.75744,1554671251.67265,1554671252.56502,1554671251.04481
,1554671250.75752,1554671251.08148,1554671251.67278,1554671252.56513,1554671251.0872
,1554671251.08163,1554671251.11353,1554671251.67289,1554671252.56524,1554671251.46093
,1554671251.11368,1554671251.50327,1554671251.67301,1554671252.56535,1554671251.50325
,1554671251.50344,1554671251.53545,1554671251.67311,1554671252.56544,1554671251.66069
,1554671251.5356,1554671251.97694,1554671252.48093,1554671252.56554,1554671252.51207
,1554671251.97709,1554671252.00886,1554671252.48119,1554671252.56563,1554671252.51233
,1554671252.00899,1554671252.52078,1554671252.51292,1554671252.56572,1554671252.54361
,1554671252.52093,1554671252.55283,1554671252.55165,1554671252.56582,1554671252.57501
,1554671252.55296,1554671253.09692,1554671254.6724,1554671255.56891,1554671253.5969
,1554671253.09707,1554671253.12889,1554671254.67265,1554671255.56917,1554671253.59716
,1554671253.12903,1554671253.7367,1554671254.67278,1554671255.56929,1554671256.59644
,1554671253.73685,1554671253.7687,1554671254.67289,1554671255.5694,1554671256.59669
,1554671253.76884,1554671254.44082,1554671254.673,1554671255.56951,1554671256.59681
,1554671254.44097,1554671254.47298,1554671254.67311,1554671255.56962,1554671256.59692
,1554671254.47311,1554671255.17677,1554671255.1793,1554671255.56972,1554671256.59703
,1554671255.17692,1554671255.20886,1554671255.55194,1554671255.56981,1554671256.59713
,1554671255.20901,1554671255.97694,1554671257.67259,1554671255.97686,1554671256.59723
,1554671255.97711,1554671256.00906,1554671257.67286,1554671256.47979,1554671256.59732
,1554671256.0092,1554671256.84084,1554671257.67297,1554671258.56499,1554671257.5159
,1554671256.84099,1554671256.87275,1554671257.6731,1554671258.56525,1554671257.51614
,1554671256.87289,1554671257.74757,1554671257.73934,1554671258.56537,1554671259.59645
,1554671257.74772,1554671258.56014,1554671258.55208,1554671258.56549,1554671259.5967
,1554671258.56029,1554671258.69711,1554671260.58638,1554671258.68642,1554671259.59682
,1554671258.69726,1554671258.7295,1554671260.58664,1554671258.71899,1554671259.59693
,1554671258.72964,1554671259.68888,1554671260.58676,1554671261.47986,1554671259.70194
,1554671259.68904,1554671259.72101,1554671260.58687,1554671261.48011,1554671260.57437
,1554671259.72115,1554671260.74476,1554671263.67382,1554671261.48023,1554671262.51283
,1554671260.74491,1554671260.77681,1554671263.67406,1554671261.48034,1554671262.51309
,1554671260.77692,1554671261.83596,1554671263.67418,1554671262.57849,1554671262.51323
,1554671261.83611,1554671298.54745,1554671298.72027,1554671300.56678,1554671298.5983
,1554671298.54761,1554671299.65623,1554671299.6656,1554671300.56703,1554671299.93656
,1554671299.65638,1554671299.68849,1554671299.87278,1554671300.56715,1554671299.93681
