
Insert Doc:(counter:0,msg_size=1,time: 1555529449.0966375)
Insert Doc:(counter:1,msg_size=2,time: 1555529449.1282048)
Insert Doc:(counter:2,msg_size=4,time: 1555529449.159778)
Insert Doc:(counter:3,msg_size=8,time: 1555529449.1912453)
Insert Doc:(counter:4,msg_size=16,time: 1555529449.2226453)
Insert Doc:(counter:5,msg_size=32,time: 1555529449.2540967)
Insert Doc:(counter:6,msg_size=64,time: 1555529449.2857356)
Insert Doc:(counter:7,msg_size=128,time: 1555529449.3172534)
Insert Doc:(counter:8,msg_size=256,time: 1555529449.3485827)
Insert Doc:(counter:9,msg_size=512,time: 1555529449.3799212)
Insert Doc:(counter:10,msg_size=1024,time: 1555529449.4114318)
Insert Doc:(counter:11,msg_size=2048,time: 1555529449.442813)
Insert Doc:(counter:12,msg_size=4096,time: 1555529451.594659)
Insert Doc:(counter:13,msg_size=8192,time: 1555529453.5957813)
Insert Doc:(counter:14,msg_size=16384,time: 1555529453.7196834)
Insert Doc:(counter:15,msg_size=32768,time: 1555529453.8619728)
Insert Doc:(counter:16,msg_size=65536,time: 1555529454.1089544)
Insert Doc:(counter:17,msg_size=131072,time: 1555529454.5247655)
Insert Doc:(counter:18,msg_size=262144,time: 1555529455.1483784)
Insert Doc:(counter:19,msg_size=524288,time: 1555529456.007145)
Insert Doc:(counter:20,msg_size=1048576,time: 1555529461.7233496)
