Q9 >>>>>>>>>>>>>>>>
Insert Doc:(counter:0,msg_size=1,time: 1555782997.8815055)
Insert Doc:(counter:1,msg_size=2,time: 1555782997.9342928)
Insert Doc:(counter:2,msg_size=4,time: 1555782997.9820848)
Insert Doc:(counter:3,msg_size=8,time: 1555782998.031813)
Insert Doc:(counter:4,msg_size=16,time: 1555782998.080166)
Insert Doc:(counter:5,msg_size=32,time: 1555782998.134648)
Insert Doc:(counter:6,msg_size=64,time: 1555782998.198458)
Insert Doc:(counter:7,msg_size=128,time: 1555782998.2472131)
Insert Doc:(counter:8,msg_size=256,time: 1555782998.2937179)
Insert Doc:(counter:9,msg_size=512,time: 1555782998.3436646)
Insert Doc:(counter:10,msg_size=1024,time: 1555782998.3934443)
Insert Doc:(counter:11,msg_size=2048,time: 1555782998.442306)
Insert Doc:(counter:12,msg_size=4096,time: 1555782998.4902925)
Insert Doc:(counter:13,msg_size=8192,time: 1555782998.5460086)
Insert Doc:(counter:14,msg_size=16384,time: 1555782998.604304)
Insert Doc:(counter:15,msg_size=32768,time: 1555782998.6807446)
Insert Doc:(counter:16,msg_size=65536,time: 1555782998.780762)
Insert Doc:(counter:17,msg_size=131072,time: 1555782998.9255822)
Insert Doc:(counter:18,msg_size=262144,time: 1555782999.16825)
Insert Doc:(counter:19,msg_size=524288,time: 1555782999.6107109)
Insert Doc:(counter:20,msg_size=1048576,time: 1555783000.45284)
